i = 1; X1 = 64034
i = 2; X2 = 139994
i = 3; X3 = 197846
i = 4; X4 = 89342
i = 5; X5 = 157778
i = 6; X6 = 61559
i = 7; X7 = 92762
i = 8; X8 = 60992
i = 9; X9 = 21887
i = 10; X10 = 114479
i = 11; X11 = 154187
i = 12; X12 = 136970
i = 13; X13 = 81989
i = 14; X14 = 25082
i = 15; X15 = 251711
i = 16; X16 = 6749
i = 17; X17 = 57230
i = 18; X18 = 75923
i = 19; X19 = 53261
i = 20; X20 = 104084
i = 21; X21 = 165527
i = 22; X22 = 243755
i = 23; X23 = 60821
i = 24; X24 = 512
i = 25; X25 = 64034
i = 26; X26 = 139994
i = 27; X27 = 197846
i = 28; X28 = 89342
i = 29; X29 = 157778
i = 30; X30 = 61559
i = 31; X31 = 92762
i = 32; X32 = 60992
i = 33; X33 = 21887
i = 34; X34 = 114479
i = 35; X35 = 154187
i = 36; X36 = 136970
i = 37; X37 = 81989
i = 38; X38 = 25082
i = 39; X39 = 251711
i = 40; X40 = 6749
i = 41; X41 = 57230
i = 42; X42 = 75923
i = 43; X43 = 53261
i = 44; X44 = 104084
i = 45; X45 = 165527
i = 46; X46 = 243755
i = 47; X47 = 60821
i = 48; X48 = 512
i = 49; X49 = 64034
i = 50; X50 = 139994
i = 51; X51 = 197846
i = 52; X52 = 89342
i = 53; X53 = 157778
i = 54; X54 = 61559
i = 55; X55 = 92762
i = 56; X56 = 60992
i = 57; X57 = 21887
i = 58; X58 = 114479
i = 59; X59 = 154187
i = 60; X60 = 136970
i = 61; X61 = 81989
i = 62; X62 = 25082
i = 63; X63 = 251711
i = 64; X64 = 6749
i = 65; X65 = 57230
i = 66; X66 = 75923
i = 67; X67 = 53261
i = 68; X68 = 104084
i = 69; X69 = 165527
i = 70; X70 = 243755
i = 71; X71 = 60821
i = 72; X72 = 512
i = 73; X73 = 64034
i = 74; X74 = 139994
i = 75; X75 = 197846
i = 76; X76 = 89342
i = 77; X77 = 157778
i = 78; X78 = 61559
i = 79; X79 = 92762
i = 80; X80 = 60992
i = 81; X81 = 21887
i = 82; X82 = 114479
i = 83; X83 = 154187
i = 84; X84 = 136970
i = 85; X85 = 81989
i = 86; X86 = 25082
i = 87; X87 = 251711
i = 88; X88 = 6749
i = 89; X89 = 57230
i = 90; X90 = 75923
i = 91; X91 = 53261
i = 92; X92 = 104084
i = 93; X93 = 165527
i = 94; X94 = 243755
i = 95; X95 = 60821
i = 96; X96 = 512
i = 97; X97 = 64034
i = 98; X98 = 139994
i = 99; X99 = 197846
i = 100; X100 = 89342
